Bin_ID,Location,Timestamp,Current_Fill_Level,Previous_Fill_Level,Fill_Rate,Day_of_Week,Hour,Waste_Type,Historical_Average_Fill,Collection_Due,Overflow_Status
LIB-05,Library,2026-09-04T13:00:00,26.7,29.59,2.16,Friday,7,Paper,41.35,No,No Overflow
AB-A-07,Academic Block A,2026-09-23T00:00:00,17.86,16.96,2.0,Wednesday,18,Paper,50.06,No,No Overflow
AB-A-02,Academic Block A,2026-09-03T16:00:00,61.02,58.16,2.0,Thursday,10,Paper,38.19,No,No Overflow
CAN-02,Canteen,2026-09-22T00:00:00,40.64,27.64,11.76,Tuesday,18,Mixed,66.81,Yes,Likely Overflow
CAN-08,Canteen,2026-09-28T13:00:00,30.09,22.77,8.4,Monday,7,Mixed,70.66,Yes,Likely Overflow
HB1-02,Hostel Block 1,2026-09-05T16:00:00,35.23,36.93,4.0,Saturday,10,Organic,64.23,No,No Overflow
AB-A-07,Academic Block A,2026-09-13T02:00:00,15.46,17.86,0.9,Sunday,20,Paper,40.19,No,No Overflow
AB-A-03,Academic Block A,2026-09-24T20:00:00,88.15,87.85,2.0,Thursday,14,Paper,43.65,Yes,Overflowed
HB2-10,Hostel Block 2,2026-09-11T02:00:00,84.54,80.84,5.64,Friday,20,Organic,61.32,Yes,Likely Overflow
AB-B-05,Academic Block B,2026-09-23T14:00:00,27.78,28.23,2.5,Wednesday,8,Paper,37.82,No,No Overflow
AB-A-06,Academic Block A,2026-09-28T16:00:00,41.76,40.41,2.0,Monday,10,Paper,49.6,No,No Overflow
CAN-10,Canteen,2026-09-12T15:00:00,32.6,26.76,9.1,Saturday,9,Mixed,63.66,Yes,Likely Overflow
CA-06,Common Area,2026-09-22T23:00:00,64.58,60.8,3.3,Tuesday,17,Plastic,43.29,No,No Overflow
AB-B-08,Academic Block B,2026-09-06T20:00:00,92.25,89.16,1.12,Sunday,14,Paper,43.83,Yes,Overflowed
HB2-10,Hostel Block 2,2026-09-08T23:00:00,92.48,84.54,4.18,Tuesday,17,Organic,55.84,Yes,Overflowed
AB-A-04,Academic Block A,2026-09-09T02:00:00,33.98,35.24,2.0,Wednesday,20,Paper,34.58,No,No Overflow
AB-B-06,Academic Block B,2026-09-30T22:00:00,39.85,35.17,2.5,Wednesday,16,Paper,52.77,No,No Overflow
HB1-10,Hostel Block 1,2026-09-30T03:00:00,22.32,21.43,5.94,Wednesday,21,Organic,58.57,No,No Overflow
CAN-04,Canteen,2026-09-18T21:00:00,70.74,56.77,8.4,Friday,15,Mixed,61.73,Yes,Likely Overflow
HB1-10,Hostel Block 1,2026-09-12T16:00:00,21.26,22.32,4.0,Saturday,10,Organic,64.95,No,No Overflow
HB2-06,Hostel Block 2,2026-09-04T01:00:00,26.2,18.77,5.64,Friday,19,Organic,50.85,No,No Overflow
CAN-07,Canteen,2026-09-22T19:00:00,53.88,40.78,11.76,Tuesday,13,Mixed,67.74,Yes,Likely Overflow
HB2-04,Hostel Block 2,2026-09-17T17:00:00,76.2,78.86,4.18,Thursday,11,Organic,67.48,Yes,Likely Overflow
CAN-03,Canteen,2026-09-04T23:00:00,82.23,70.07,8.4,Friday,17,Mixed,72.93,Yes,Likely Overflow
HB1-06,Hostel Block 1,2026-09-04T17:00:00,57.05,46.3,4.4,Friday,11,Organic,54.83,No,No Overflow
CA-03,Common Area,2026-09-24T17:00:00,74.36,70.96,3.3,Thursday,11,Plastic,59.49,No,Likely Overflow
AB-A-07,Academic Block A,2026-09-28T23:00:00,19.41,15.46,2.0,Monday,17,Paper,39.37,No,No Overflow
LIB-03,Library,2026-09-07T15:00:00,31.43,22.92,2.16,Monday,9,Paper,34.73,No,No Overflow
CA-06,Common Area,2026-09-18T03:00:00,65.42,64.58,3.3,Friday,21,Plastic,42.01,No,No Overflow
AB-A-02,Academic Block A,2026-09-05T03:00:00,68.71,61.02,0.9,Saturday,21,Paper,40.53,No,No Overflow
CAN-08,Canteen,2026-09-10T16:00:00,43.78,30.09,8.4,Thursday,10,Mixed,58.04,Yes,Likely Overflow
CA-07,Common Area,2026-09-03T14:00:00,85.27,75.28,3.3,Thursday,8,Plastic,55.17,Yes,Overflowed
HB2-09,Hostel Block 2,2026-09-25T15:00:00,52.9,48.02,4.18,Friday,9,Organic,52.31,No,No Overflow
HB1-01,Hostel Block 1,2026-09-18T02:00:00,99.09,87.15,5.94,Friday,20,Organic,57.92,Yes,Overflowed
CAN-05,Canteen,2026-09-25T00:00:00,53.63,34.94,11.76,Friday,18,Mixed,60.62,Yes,Likely Overflow
LIB-06,Library,2026-09-12T20:00:00,43.49,46.12,0.9,Saturday,14,Paper,44.19,No,No Overflow
AB-A-05,Academic Block A,2026-09-11T13:00:00,26.49,28.41,2.0,Friday,7,Paper,44.59,No,No Overflow
AB-A-05,Academic Block A,2026-09-23T23:00:00,22.43,26.49,2.0,Wednesday,17,Paper,35.06,No,No Overflow
AB-A-03,Academic Block A,2026-09-28T18:00:00,86.48,88.15,2.0,Monday,12,Paper,35.28,Yes,Overflowed
LIB-07,Library,2026-09-16T16:00:00,75.38,67.87,2.16,Wednesday,10,Paper,37.71,Yes,Likely Overflow
LIB-01,Library,2026-09-16T16:00:00,72.43,74.6,2.16,Wednesday,10,Paper,42.12,No,Likely Overflow
AB-A-07,Academic Block A,2026-09-22T19:00:00,20.17,19.41,2.0,Tuesday,13,Paper,40.38,No,No Overflow
CA-02,Common Area,2026-09-24T13:00:00,86.41,88.73,3.3,Thursday,7,Plastic,54.12,Yes,Overflowed
HB1-10,Hostel Block 1,2026-09-24T18:00:00,20.19,21.26,4.4,Thursday,12,Organic,61.41,No,No Overflow
AB-B-05,Academic Block B,2026-09-07T21:00:00,29.19,27.78,2.5,Monday,15,Paper,45.08,No,No Overflow
HB1-02,Hostel Block 1,2026-09-15T16:00:00,33.69,35.23,4.4,Tuesday,10,Organic,62.74,No,No Overflow
CAN-08,Canteen,2026-09-29T02:00:00,49.25,43.78,11.76,Tuesday,20,Mixed,66.91,Yes,Likely Overflow
HB2-09,Hostel Block 2,2026-09-27T13:00:00,64.0,52.9,5.13,Sunday,7,Organic,67.44,No,No Overflow
CA-01,Common Area,2026-09-08T15:00:00,56.91,48.51,3.3,Tuesday,9,Plastic,49.32,No,No Overflow
CA-04,Common Area,2026-09-02T15:00:00,88.84,88.82,3.3,Wednesday,9,Plastic,48.82,Yes,Overflowed
CAN-07,Canteen,2026-09-26T20:00:00,69.37,53.88,12.74,Saturday,14,Mixed,62.13,Yes,Likely Overflow
CAN-03,Canteen,2026-09-26T21:00:00,91.14,82.23,9.1,Saturday,15,Mixed,68.91,Yes,Overflowed
AB-B-05,Academic Block B,2026-09-10T16:00:00,32.8,29.19,2.5,Thursday,10,Paper,54.44,No,No Overflow
HB2-09,Hostel Block 2,2026-09-03T00:00:00,63.34,64.0,5.64,Thursday,18,Organic,55.64,No,No Overflow
HB2-05,Hostel Block 2,2026-09-18T03:00:00,34.69,22.59,5.64,Friday,21,Organic,65.35,No,No Overflow
AB-A-06,Academic Block A,2026-09-28T15:00:00,37.71,41.76,2.0,Monday,9,Paper,35.23,No,No Overflow
CA-02,Common Area,2026-09-08T19:00:00,95.17,86.41,3.3,Tuesday,13,Plastic,44.16,Yes,Overflowed
AB-B-08,Academic Block B,2026-09-19T22:00:00,87.52,92.25,1.12,Saturday,16,Paper,37.72,Yes,Overflowed
LIB-07,Library,2026-09-19T22:00:00,82.37,75.38,0.9,Saturday,16,Paper,37.41,Yes,Likely Overflow
AB-B-06,Academic Block B,2026-09-23T00:00:00,39.07,39.85,2.5,Wednesday,18,Paper,42.66,No,No Overflow
AB-B-01,Academic Block B,2026-09-22T23:00:00,41.32,35.29,2.5,Tuesday,17,Paper,42.4,No,No Overflow
AB-A-05,Academic Block A,2026-09-01T20:00:00,25.31,22.43,2.0,Tuesday,14,Paper,45.18,No,No Overflow
AB-A-07,Academic Block A,2026-09-03T21:00:00,18.88,20.17,2.0,Thursday,15,Paper,37.84,No,No Overflow
CA-06,Common Area,2026-09-13T03:00:00,64.48,65.42,2.64,Sunday,21,Plastic,43.24,No,No Overflow
HB1-03,Hostel Block 1,2026-09-06T20:00:00,71.85,66.28,4.0,Sunday,14,Organic,62.01,No,Likely Overflow
CAN-08,Canteen,2026-09-21T21:00:00,62.09,49.25,8.4,Monday,15,Mixed,57.14,Yes,Likely Overflow
HB1-04,Hostel Block 1,2026-09-30T23:00:00,81.35,80.25,4.4,Wednesday,17,Organic,48.86,Yes,Likely Overflow
CA-03,Common Area,2026-09-05T00:00:00,73.81,74.36,2.64,Saturday,18,Plastic,51.96,No,Likely Overflow
LIB-03,Library,2026-09-08T00:00:00,36.21,31.43,2.16,Tuesday,18,Paper,34.17,No,No Overflow
CA-01,Common Area,2026-09-09T21:00:00,65.88,56.91,3.3,Wednesday,15,Plastic,50.79,No,No Overflow
CA-01,Common Area,2026-09-02T14:00:00,73.79,65.88,3.3,Wednesday,8,Plastic,53.42,No,Likely Overflow
AB-A-03,Academic Block A,2026-09-01T18:00:00,90.4,86.48,2.0,Tuesday,12,Paper,47.88,Yes,Overflowed
HB1-01,Hostel Block 1,2026-09-07T00:00:00,100,99.09,5.94,Monday,18,Organic,54.95,Yes,Overflowed
HB2-10,Hostel Block 2,2026-09-01T14:00:00,100,92.48,5.64,Tuesday,8,Organic,51.35,Yes,Overflowed
CA-04,Common Area,2026-09-05T21:00:00,89.65,88.84,2.64,Saturday,15,Plastic,42.65,Yes,Overflowed
HB2-10,Hostel Block 2,2026-09-05T19:00:00,100,100,3.8,Saturday,13,Organic,52.29,Yes,Overflowed
CA-04,Common Area,2026-10-01T01:00:00,86.51,89.65,3.3,Thursday,19,Plastic,59.5,Yes,Overflowed
HB1-07,Hostel Block 1,2026-09-07T23:00:00,26.55,18.22,4.4,Monday,17,Organic,51.49,No,No Overflow
CA-03,Common Area,2026-09-28T19:00:00,80.6,73.81,3.3,Monday,13,Plastic,59.53,Yes,Likely Overflow
